northern ireland,armagh,armagh,"54.35067192000214, -6.653447300958366"
northern ireland,armagh,ballymoyer,"54.21814780808239, -6.519989348735924"
northern ireland,armagh,belleeks,"54.18397249817971, -6.487161620169505"
northern ireland,armagh,bessbrook,"54.19592721263297, -6.394693941232929"
northern ireland,armagh,camlough,"54.18046956092419, -6.410581425706201"
northern ireland,armagh,carnagh,"54.19394113580503, -6.723132115855671"
northern ireland,armagh,castor bay,"54.49904183423002, -6.344457004795468"
northern ireland,armagh,charlemont,"54.44231189060182, -6.685718542752645"
northern ireland,armagh,craigavon,"54.44261142619771, -6.4197227437836535"
northern ireland,armagh,crossmaglen,"54.07734543533851, -6.608407108840114"
northern ireland,armagh,culdee,"54.34687361858705, -6.658640860571534"
northern ireland,armagh,cullaville,"54.061961033595146, -6.643717357016811"
northern ireland,armagh,cullyhanna,"54.13086096884149, -6.587681388732894"
northern ireland,armagh,drumarg,"54.34395587484477, -6.664266456585535"
northern ireland,armagh,drumarn,"54.368092498925435, -6.674027180104581"
northern ireland,armagh,drumsallen,"54.37335470530439, -6.753353433145657"
northern ireland,armagh,forkhill,"54.082845009829974, -6.45088685913458"
northern ireland,armagh,jonesborough,"54.09030004303917, -6.371253495221903"
northern ireland,armagh,keady,"54.24830263107699, -6.704769092428772"
northern ireland,armagh,killeen,"54.11795876975979, -6.353982542807121"
northern ireland,armagh,kilmore,"54.398312763026894, -6.546857450148175"
northern ireland,armagh,lislea,"54.15618232571278, -6.459788542684037"
northern ireland,armagh,lisnadill,"54.29924330103499, -6.639164097367353"
northern ireland,armagh,loughgall,"54.40945760425431, -6.603063106645143"
northern ireland,armagh,lurgan,"54.463445156525154, -6.335234628938019"
northern ireland,armagh,markethill,"54.29701133319325, -6.522400973841799"
northern ireland,armagh,meigh,"54.122858422436586, -6.389529856548413"
northern ireland,armagh,middletown,"54.292861211261396, -6.844370630895183"
northern ireland,armagh,milford,"54.33239267928225, -6.68291891710068"
northern ireland,armagh,mount norris,"54.25267710745797, -6.475284373402785"
northern ireland,armagh,newtownhamilton,"54.19182619171985, -6.576192126368721"
northern ireland,armagh,oxford island,"54.495702009777354, -6.385129379372601"
northern ireland,armagh,portadown,"54.41995459892043, -6.456852711539522"
northern ireland,armagh,poyntzpass,"54.29303585312807, -6.374524736699861"
northern ireland,armagh,tandragee,"54.35630486549212, -6.415548073106281"
northern ireland,armagh,umgola,"54.34136064304079, -6.668423752824271"
northern ireland,armagh,whitecross,"54.221263621184995, -6.486300486133637"
northern ireland,belfast,belfast,"54.59829767217484, -5.929742511607831"
northern ireland,belfast,"belfast, andersonstown","54.58184609489563, -5.988804846406908"
northern ireland,belfast,"belfast, ardoyne","54.61883106678195, -5.959864547333618"
northern ireland,belfast,"belfast, ballyhackamore","54.59518359592536, -5.866054393038132"
northern ireland,belfast,"belfast, ballymurphy","54.593474244796994, -5.9652618277379315"
northern ireland,belfast,"belfast, ballynafeigh","54.57592415578441, -5.917429437838868"
northern ireland,belfast,"belfast, ballysillan","54.62295009136301, -5.975629179495596"
northern ireland,belfast,"belfast, beechmount","54.59386104117677, -5.963980130934581"
northern ireland,belfast,"belfast, belmont","54.60391820719424, -5.851366106841002"
northern ireland,belfast,"belfast, bloomfield","54.59577309216102, -5.888483664511613"
northern ireland,belfast,"belfast, braniel","54.578942689774806, -5.852287404000076"
northern ireland,belfast,"belfast, castlereagh","54.575755936954614, -5.888676300943854"
northern ireland,belfast,"belfast, cregagh","54.584247469110124, -5.89671987096896"
northern ireland,belfast,"belfast, divis flats","54.6005639404359, -5.94243166141815"
northern ireland,belfast,"belfast, docks","54.61900330784651, -5.894624865420711"
northern ireland,belfast,"belfast, donegall pass","54.590132771165614, -5.928103648880087"
northern ireland,belfast,"belfast, duncairn gardens","54.61330021563052, -5.9323161491688845"
northern ireland,belfast,"belfast, dundonald","54.593153965514944, -5.794206104039798"
northern ireland,belfast,"belfast, falls","54.59129858360375, -5.966195236536158"
northern ireland,belfast,"belfast, finaghy","54.56293791394139, -5.980372096875306"
northern ireland,belfast,"belfast, glencairn","54.61385688445566, -5.979021824985767"
northern ireland,belfast,"belfast, greencastle","54.64494008263145, -5.921179574607363"
northern ireland,belfast,"belfast, hannahstown","54.58134849468114, -6.029382434657783"
northern ireland,belfast,"belfast, highfield","54.602486775652885, -5.975647222242244"
northern ireland,belfast,"belfast, lenadoon","54.57170603946292, -6.010413865282313"
northern ireland,belfast,"belfast, ligoniel","54.626085704823666, -5.984120737554199"
northern ireland,belfast,"belfast, lower falls","54.59517598299085, -5.949559285949097"
northern ireland,belfast,"belfast, lower oldpark","54.61168430929986, -5.944708185503327"
northern ireland,belfast,"belfast, malone","54.579949362774926, -5.939300206965975"
northern ireland,belfast,"belfast, markets","54.594241658640726, -5.921921699102732"
northern ireland,belfast,"belfast, millfield","54.60142979976113, -5.935438563916649"
northern ireland,belfast,"belfast, mount vernon","54.631911403663466, -5.926300840597543"
northern ireland,belfast,"belfast, new lodge","54.61031365982745, -5.932744200899848"
northern ireland,belfast,"belfast, oldpark","54.629659158801466, -5.969408806228239"
northern ireland,belfast,"belfast, peter's hill","54.6033607370039, -5.937692502543577"
northern ireland,belfast,"belfast, rosetta","54.571587480739986, -5.9120603946336185"
northern ireland,belfast,"belfast, sandy row","54.590976890859785, -5.936980933242533"
northern ireland,belfast,"belfast, shankill","54.604054221851484, -5.945672665443878"
northern ireland,belfast,"belfast, short strand","54.59792667903156, -5.912399417891927"
northern ireland,belfast,"belfast, skegoneill","54.62302633216916, -5.92618632742605"
northern ireland,belfast,"belfast, smithfield","54.601273022210336, -5.93394849514668"
northern ireland,belfast,"belfast, somerdale park","54.61526611683767, -5.971823848559101"
northern ireland,belfast,"belfast, springmartin","54.60043187439851, -5.9802689656998895"
northern ireland,belfast,"belfast, st. james","54.61011391974517, -5.937038478997475"
northern ireland,belfast,"belfast, strandtown","54.60120166810355, -5.882478478087535"
northern ireland,belfast,"belfast, stranmillis","54.57041193615026, -5.934877496973786"
northern ireland,belfast,"belfast, suffolk","54.571139663726385, -6.01669614170477"
northern ireland,belfast,"belfast, sydenham","54.60774058376769, -5.875402718426779"
northern ireland,belfast,"belfast, taughmonagh","54.56045236577737, -5.971774264643468"
northern ireland,belfast,"belfast, tiger's bay","54.613758311188995, -5.926075014375843"
northern ireland,belfast,"belfast, tullycarnet","54.58982176414499, -5.827996139008941"
northern ireland,belfast,"belfast, turf lodge","54.58914419627535, -5.989190094615001"
northern ireland,belfast,"belfast, twinbrook","54.554810295379546, -6.024991744424307"
northern ireland,belfast,"belfast, unity flats","54.60360760099496, -5.932528120154706"
northern ireland,belfast,"belfast, woodvale","54.60767088557025, -5.962982496108051"
ireland,cavan,belturbet,"54.10189801529704, -7.449497017441986"
ireland,cavan,redhills,"54.09918452465534, -7.32002182434485"
ireland,clare,feakle,"52.924822345991316, -8.640808952523484"
Ireland,cork,"ballincollig, cork","51.887421139538624, -8.601407687062984"
Ireland,cork,cork,"51.89724378582605, -8.478295849354057"
country,county,town,coordinates
northern ireland,derry,altnagelvin,"54.98008082727436, -7.287573965456105"
northern ireland,derry,ballykelly,"55.04447689434737, -7.021240717172574"
northern ireland,derry,ballyronan,"54.70777079345442, -6.533026380125742"
northern ireland,derry,bellaghy,"54.80887835630563, -6.518538087944562"
northern ireland,derry,castledawson,"54.778098948414275, -6.5560730309148285"
northern ireland,derry,castlerock,"55.1648659592984, -6.789724879556062"
northern ireland,derry,claudy,"54.9117258736875, -7.152411391940205"
northern ireland,derry,coleraine,"55.13248687823912, -6.66277292207555"
northern ireland,derry,coshquinn,"55.032887877467175, -7.3599807474740775"
northern ireland,derry,derry,"54.99632401676687, -7.309231526118927"
northern ireland,derry,derry altnagelvin,"54.98003664867008, -7.28761473257237"
northern ireland,derry,derry ballyarnet,"55.03885353362314, -7.308957446545564"
northern ireland,derry,derry ballymagroarty,"55.01981329854759, -7.349414434958819"
northern ireland,derry,derry bogside,"54.995342737734255, -7.332802888015572"
northern ireland,derry,derry brandywell,"54.99056649748322, -7.333068884956199"
northern ireland,derry,derry caw,"55.00849257947289, -7.285730269901875"
northern ireland,derry,derry coshquinn,"55.03268229699089, -7.3609271720372"
northern ireland,derry,derry creggan,"54.99347646930778, -7.343807707127772"
northern ireland,derry,derry gobnascale,"54.97975813370044, -7.327251053909289"
northern ireland,derry,derry kilfennan,"54.99704553072103, -7.288214631717437"
northern ireland,derry,derry lisahally,"55.03487086976874, -7.26228614687025"
northern ireland,derry,derry prehen,"54.972146902102885, -7.352170863779327"
northern ireland,derry,derry rosemount,"55.00252287741686, -7.337460537464484"
northern ireland,derry,derry shantallow,"55.02665793919772, -7.316397085580796"
northern ireland,derry,derry tullyally,"54.974286817609254, -7.288088881183113"
northern ireland,derry,derry waterside,"54.990084081148, -7.311363755013181"
